Zip_Code,Median
00601,15004.0
00602,9923.0
00603,14558.0
00605,9461.0
00606,15233.0
00610,18887.0
00612,19564.0
00614,14339.5
00617,13615.5
00623,16214.0
00624,13525.0
00627,26096.0
00631,6774.0
00637,13024.0
00638,16277.5
00641,19434.0
00646,18240.0
00653,11741.0
00656,14632.5
00659,19583.5
00660,20807.0
00662,14344.5
00664,17816.0
00667,13605.0
00669,16020.5
00674,31012.0
00676,13727.0
00677,13686.5
00678,13863.0
00680,10829.0
00682,16253.5
00683,23798.0
00685,12798.5
00687,15702.0
00692,18641.5
00693,11912.0
00698,20506.0
00703,12536.5
00705,16304.5
00707,20916.5
00714,18049.0
00715,17574.0
00718,22046.0
00719,21429.0
00720,13756.0
00723,8840.0
00725,19837.5
00726,56122.0
00727,20890.0
00728,8881.0
00729,47152.0
00731,16140.0
00732,6020.0
00733,19292.0
00735,23079.5
00736,15625.0
00737,17373.0
00738,19707.5
00739,24874.0
00745,18503.0
00751,16902.0
00754,11755.0
00757,12248.5
00765,23595.0
00766,19756.0
00767,13783.0
00769,14380.0
00771,10757.0
00772,16826.0
00773,16044.0
00777,13331.0
00778,14559.0
00780,12799.0
00782,12304.0
00783,15704.0
00784,9789.5
00791,16996.5
00792,16215.0
00794,18700.0
00795,18988.0
00901,19320.0
00906,0.0
00907,54958.0
00909,21947.5
00912,20219.0
00914,6884.0
00915,12750.0
00917,15973.0
00920,11362.0
00921,10073.0
00923,19947.5
00924,27140.5
00925,14867.0
00926,37660.0
00927,28222.0
00928,24464.5
00934,52177.0
00949,18484.0
00950,13048.0
00951,28961.5
00953,20424.0
00956,22059.0
00957,26610.0
00959,15885.0
00960,20534.0
00961,14466.0
00962,21434.0
00963,8730.0
00969,61414.5
00970,17672.0
00971,20563.5
00976,25804.5
00979,38449.0
00983,26499.5
00984,27182.0
00985,34296.0
00986,34685.0
00987,41508.5
00988,17983.0
01001,57281.0
01002,66896.0
01005,300000.0
01013,28872.0
01020,57298.5
01022,57266.0
01027,190748.5
01030,300000.0
01033,76168.0
01035,65805.0
01036,93246.0
01038,64735.0
01040,36443.5
01050,71730.0
01056,300000.0
01060,300000.0
01062,58099.0
01069,44303.0
01075,35026.0
01077,67100.0
01081,61018.5
01082,34842.0
01085,45146.0
01089,75808.5
01092,42432.0
01093,55056.0
01095,99507.0
01104,34320.5
01105,14062.0
01106,110033.0
01107,48246.5
01108,18630.5
01109,45619.0
01118,43889.0
01119,174129.0
01151,29504.5
01201,41326.0
01220,35394.0
01223,64745.0
01225,53122.0
01230,32115.0
01237,63726.0
01238,94260.0
01240,52344.0
01247,20493.0
01249,47080.0
01253,59823.0
01257,186587.0
01267,69776.0
01301,50154.0
01330,62524.0
01331,41237.0
01337,66948.0
01364,39215.0
01373,78174.0
01376,300000.0
01420,66300.5
01431,84920.0
01432,114277.0
01440,42845.0
01450,99801.0
01451,300000.0
01453,50069.0
01460,79207.0
01462,89214.0
01468,300000.0
01469,95132.0
01473,300000.0
01475,300000.0
01501,60190.0
01507,125022.0
01510,50276.0
01520,300000.0
01524,300000.0
01527,56087.5
01532,106872.0
01535,61931.0
01536,87279.0
01540,300000.0
01545,300000.0
01550,181494.5
01560,60640.0
01562,36772.0
01564,97858.5
01566,57130.0
01568,57452.0
01569,300000.0
01570,68440.0
01571,48194.0
01581,300000.0
01583,102279.0
01588,63671.0
01602,172243.0
01603,53590.0
01604,34700.5
01605,76986.0
01606,300000.0
01607,300000.0
01609,26803.0
01610,30332.0
01612,88986.0
01701,197762.5
01702,77895.0
01720,124665.0
01721,300000.0
01730,122331.0
01740,300000.0
01741,152284.0
01742,230164.5
01746,118468.0
01748,156100.0
01749,85099.5
01752,84136.0
01754,300000.0
01757,73630.0
01760,129204.0
01772,157833.0
01775,135560.5
01776,236812.5
01778,152287.5
01801,300000.0
01803,300000.0
01810,300000.0
01821,102137.0
01824,102314.0
01826,86758.0
01827,300000.0
01832,75904.0
01833,107616.0
01835,51618.0
01841,38154.5
01843,43771.0
01844,71238.0
01845,154522.0
01850,62200.5
01851,40226.0
01852,48670.5
01854,51250.5
01862,0.0
01864,111509.0
01867,67673.5
01876,300000.0
01880,80976.5
01886,300000.0
01887,111923.0
01890,186438.0
01902,40405.0
01904,89547.0
01905,43567.5
01906,86662.0
01907,188940.5
01908,27757.0
01913,69529.0
01915,78012.5
01923,300000.0
01929,107466.0
01930,60050.5
01938,68330.0
01940,133318.0
01945,68375.0
01949,75285.0
01950,68046.0
01951,300000.0
01952,57283.0
01960,64108.0
01966,57795.0
01970,60049.0
01983,300000.0
01984,300000.0
01985,300000.0
02019,300000.0
02021,115347.0
02025,92287.0
02026,69897.0
02030,183108.0
02032,114549.0
02038,209772.0
02043,112759.0
02045,300000.0
02048,186363.0
02050,117700.0
02052,300000.0
02053,300000.0
02056,89013.0
02061,114268.0
02062,115047.0
02066,126555.0
02067,300000.0
02072,88850.5
02081,190948.5
02090,300000.0
02093,82284.0
02111,18656.0
02113,76533.0
02115,35094.0
02116,89206.0
02118,81842.0
02119,31117.0
02120,51344.0
02121,31736.0
02122,77806.5
02124,40897.0
02125,34472.0
02126,58733.0
02127,90728.0
02128,47936.0
02129,95096.5
02130,69758.5
02131,72192.0
02132,183567.5
02134,49872.0
02135,40823.0
02136,45020.0
02138,58810.5
02139,60488.0
02140,68782.0
02141,36520.0
02143,300000.0
02144,103259.0
02145,53947.0
02148,39552.0
02149,62257.0
02150,48778.0
02151,55539.0
02152,76883.5
02155,300000.0
02169,82184.0
02170,82270.0
02171,74339.0
02176,300000.0
02180,180713.0
02184,86311.5
02186,300000.0
02188,45309.0
02189,48573.0
02190,34650.5
02191,59558.5
02215,25568.0
02301,56625.5
02302,300000.0
02322,188048.5
02324,70037.0
02330,300000.0
02332,119460.5
02333,300000.0
02339,121376.0
02341,87815.5
02343,189374.5
02346,72818.0
02347,132817.0
02351,300000.0
02359,69526.0
02360,85748.0
02364,300000.0
02368,186804.0
02370,77782.0
02375,93621.5
02382,300000.0
02420,160361.0
02421,142702.5
02445,60743.0
02446,78981.0
02451,42590.5
02452,97462.0
02453,112890.0
02458,300000.0
02459,300000.0
02460,123287.0
02461,92604.0
02465,300000.0
02467,96590.0
02472,300000.0
02474,101298.5
02476,213930.0
02478,109193.0
02481,300000.0
02482,300000.0
02492,230166.5
02493,300000.0
02494,126674.0
02532,63438.0
02536,300000.0
02537,300000.0
02539,61248.0
02540,86920.0
02554,85896.5
02556,300000.0
02568,300000.0
02571,47583.0
02576,300000.0
02601,181855.0
02631,73826.0
02632,55908.5
02633,59709.0
02642,69197.0
02644,300000.0
02645,50113.0
02648,86364.0
02649,70824.0
02653,48438.0
02657,59958.0
02660,59933.0
02664,36313.0
02673,54579.5
02703,300000.0
02715,78649.0
02717,111071.0
02719,300000.0
02720,53144.0
02721,39412.0
02723,26528.0
02725,56220.0
02726,300000.0
02738,78548.5
02739,97274.0
02740,40012.5
02744,23301.0
02745,48685.0
02746,13975.0
02747,73608.0
02748,83611.0
02760,137354.0
02766,300000.0
02767,84068.0
02771,97422.0
02777,300000.0
02780,67561.5
02790,66782.0
02804,300000.0
02806,192257.5
02807,300000.0
02809,79014.0
02815,300000.0
02816,78160.0
02818,101405.5
02830,66860.0
02832,300000.0
02835,95091.0
02837,71989.0
02838,90644.0
